feature,gain
score_q25,4386.4400442123415
score_cv,4337.640361022949
score_bottom3_mean,3680.6666210174562
estimated_favorite_dominance,3211.7802614212037
score_iqr,3207.134879684448
estimated_favorite_gap,2842.539023399353
back_count_std,2769.267019844055
makuri_count_top3_sum,2678.16593914032
estimated_top3_vs_others,2615.2494344711304
back_count_mean,2526.1819622039793
score_range,2492.8375577926636
score_top_bottom_gap,2379.55809803009
keirin_cd_num,2372.6499032974243
score_std,2242.342618179321
mark_count_mean,2230.7942756652833
day,2205.372057914734
nige_count_top3_sum,2097.0433954238893
score_max,2068.0077966690064
score_min,2024.9876636505128
nige_count_max,1956.2794960021972
sasi_count_mean,1906.424599647522
month,1890.036820793152
back_count_top3_mean,1854.5477571487427
makuri_count_mean,1720.9991031646728
score_median,1658.5750986099242
nige_count_mean,1636.5301984786988
line_score_gap,1555.9897178649903
entry_count,1519.5522583007812
style_tsui_ratio,1478.349383163452
sasi_count_top3_sum,1456.8043983459472
mark_count_top3_sum,1429.7127780914307
race_no,1377.9370183944702
score_q75,1284.9200963974
makuri_count_max,1232.2988962173463
sasi_count_max,1185.7002016067504
back_count_max,1137.1604619979857
score_mean,1086.5693370819092
mark_count_max,1016.3930391311645
prefecture_unique_count,1003.0630418777466
score_top3_mean,996.2045581817626
day_of_week,974.2709028244019
style_diversity,734.5108390808106
style_nige_ratio,722.0142778396606
style_nige_count,698.9240989685059
style_ryo_ratio,663.9470603942871
line_balance_std,568.491543006897
style_ryo_count,561.4918607711792
grade_flag_F1,537.2937398910523
style_max_ratio,444.70064010620115
grade_S2_ratio,407.61774082183837
grade_entropy,388.2595598220825
back_count_top3_sum,355.86382083892823
grade_A1_ratio,347.58657989501955
line_entropy,324.8085391998291
is_first_day,314.76743869781495
estimated_top3_score_sum,310.78169975280764
style_tsui_count,303.0258008956909
grade_A2_ratio,291.6490182876587
grade_A2_count,287.2848815917969
dominant_line_ratio,279.1351594924927
style_entropy,211.2329610824585
grade_flag_G3,192.7918577194214
style_min_ratio,189.2962787628174
is_final_day,181.8042999267578
is_second_day,178.26153945922852
grade_A1_count,166.58374061584473
grade_S2_count,125.57475852966309
grade_S1_ratio,122.9180793762207
grade_flag_F2,82.19307975769043
year,63.783959579467776
line_count,61.35833950042725
grade_S1_count,54.835499954223636
grade_flag_G2,40.41926040649414
grade_A3_count,30.826699638366698
grade_SS_ratio,27.053820419311524
grade_A3_ratio,10.189700317382812
grade_L1_count,7.6878196716308596
grade_SS_count,5.575019836425781
grade_flag_G1,4.202799987792969
grade_flag_L,0.0
is_weekend,0.0
grade_flag_GP,0.0
grade_flag_F3,0.0
style_unknown_ratio,0.0
grade_L1_ratio,0.0
grade_has_mixed,0.0
