0,1,2,3,4,5,6,7,8,9
ホームバンク,ホームバンク,ホームバンク,ホームバンク,ホームバンク,ホーム競技場（練習地）,ホーム競技場（練習地）,ホーム競技場（練習地）,ホーム競技場（練習地）,ホーム競技場（練習地）
前橋,前橋,前橋,前橋,前橋,-,-,-,-,-
得意な周長,得意な周長,得意な周長,得意な周長,得意な周長,得意な競輪場,得意な競輪場,得意な競輪場,得意な競輪場,得意な競輪場
-,-,-,-,-,-,-,-,-,-
好きな車番,好きな車番,好きな車番,好きな車番,好きな車番,好きな食べ物,好きな食べ物,好きな食べ物,好きな食べ物,好きな食べ物
７,７,７,７,７,甘いもの,甘いもの,甘いもの,甘いもの,甘いもの
嫌いな食べ物,嫌いな食べ物,嫌いな食べ物,嫌いな食べ物,嫌いな食べ物,,,,,
-,-,-,-,-,,,,,
自転車競技歴,自転車競技歴,自転車競技歴,自転車競技歴,自転車競技歴,自転車競技歴,自転車競技歴,自転車競技歴,自転車競技歴,自転車競技歴
Ｈ１９年高校総体ケイリン第８位　Ｈ１９年都道府県チームスプリント第８位,Ｈ１９年高校総体ケイリン第８位　Ｈ１９年都道府県チームスプリント第８位,Ｈ１９年高校総体ケイリン第８位　Ｈ１９年都道府県チームスプリント第８位,Ｈ１９年高校総体ケイリン第８位　Ｈ１９年都道府県チームスプリント第８位,Ｈ１９年高校総体ケイリン第８位　Ｈ１９年都道府県チームスプリント第８位,Ｈ１９年高校総体ケイリン第８位　Ｈ１９年都道府県チームスプリント第８位,Ｈ１９年高校総体ケイリン第８位　Ｈ１９年都道府県チームスプリント第８位,Ｈ１９年高校総体ケイリン第８位　Ｈ１９年都道府県チームスプリント第８位,Ｈ１９年高校総体ケイリン第８位　Ｈ１９年都道府県チームスプリント第８位,Ｈ１９年高校総体ケイリン第８位　Ｈ１９年都道府県チームスプリント第８位
中学校スポーツ歴,中学校スポーツ歴,中学校スポーツ歴,中学校スポーツ歴,中学校スポーツ歴,高校スポーツ歴,高校スポーツ歴,高校スポーツ歴,高校スポーツ歴,高校スポーツ歴
剣道,剣道,剣道,剣道,剣道,自転車競技,自転車競技,自転車競技,自転車競技,自転車競技
大学・社会人スポーツ歴,大学・社会人スポーツ歴,大学・社会人スポーツ歴,大学・社会人スポーツ歴,大学・社会人スポーツ歴,大学・社会人スポーツ歴,大学・社会人スポーツ歴,大学・社会人スポーツ歴,大学・社会人スポーツ歴,大学・社会人スポーツ歴
-,-,-,-,-,-,-,-,-,-
他スポーツの主な成績,他スポーツの主な成績,他スポーツの主な成績,他スポーツの主な成績,他スポーツの主な成績,他スポーツの主な成績,他スポーツの主な成績,他スポーツの主な成績,他スポーツの主な成績,他スポーツの主な成績
-,-,-,-,-,-,-,-,-,-
JKA表彰歴,JKA表彰歴,JKA表彰歴,JKA表彰歴,JKA表彰歴,JKA表彰歴,JKA表彰歴,JKA表彰歴,JKA表彰歴,JKA表彰歴
-,-,-,-,-,-,-,-,-,-
褒章表彰,褒章表彰,褒章表彰,褒章表彰,褒章表彰,褒章表彰,褒章表彰,褒章表彰,褒章表彰,褒章表彰
-,-,-,-,-,-,-,-,-,-
